inst_id	rna_plate	rna_well	pert_id	pert_iname	pert_type	pert_dose	pert_dose_unit	pert_time	pert_time_unit	cell_id	distil_id	pert_desc
CPC020_MCF7_24H_X1_F1B4_DUO52HI53LO:P17	CPC020_MCF7_24H_X1	P17	BRD-K55044200	amoxicillin	trt_cp	10	um	24	h	MCF7	CPC020_MCF7_24H_X1_F1B4_DUO52HI53LO:P17	amoxicillin
CPC020_MCF7_24H_X2_F1B4_DUO52HI53LO:P17	CPC020_MCF7_24H_X2	P17	BRD-K55044200	amoxicillin	trt_cp	10	um	24	h	MCF7	CPC020_MCF7_24H_X2_F1B4_DUO52HI53LO:P17	amoxicillin
CPC020_MCF7_24H_X3_F1B4_DUO52HI53LO:P17	CPC020_MCF7_24H_X3	P17	BRD-K55044200	amoxicillin	trt_cp	10	um	24	h	MCF7	CPC020_MCF7_24H_X3_F1B4_DUO52HI53LO:P17	amoxicillin
CPC020_MCF7_24H_X4_F2B4_DUO52HI53LO:P17	CPC020_MCF7_24H_X4	P17	BRD-K55044200	amoxicillin	trt_cp	10	um	24	h	MCF7	CPC020_MCF7_24H_X4_F2B4_DUO52HI53LO:P17	amoxicillin
CPC020_MCF7_24H_X5_B5_DUO52HI53LO:P17	CPC020_MCF7_24H_X5	P17	BRD-K55044200	amoxicillin	trt_cp	10	um	24	h	MCF7	CPC020_MCF7_24H_X5_B5_DUO52HI53LO:P17	amoxicillin
KDA001_MCF7_144H_X2_B1_DUO44HI45LO:L23	KDA001_MCF7_144H_X2	L23	TRCN0000013804	E2F3	trt_sh	-666	-666	144	h	MCF7	KDA001_MCF7_144H_X2_B1_DUO44HI45LO:L23	E2F3
KDA001_MCF7_144H_X3_B1_DUO45HI44LO:L23	KDA001_MCF7_144H_X3	L23	TRCN0000013804	E2F3	trt_sh	-666	-666	144	h	MCF7	KDA001_MCF7_144H_X3_B1_DUO45HI44LO:L23	E2F3
KDA001_MCF7_144H_X2_B1_DUO44HI45LO:L05	KDA001_MCF7_144H_X2	L05	TRCN0000013805	E2F3	trt_sh	-666	-666	144	h	MCF7	KDA001_MCF7_144H_X2_B1_DUO44HI45LO:L05	E2F3
KDA001_MCF7_144H_X3_B1_DUO45HI44LO:L05	KDA001_MCF7_144H_X3	L05	TRCN0000013805	E2F3	trt_sh	-666	-666	144	h	MCF7	KDA001_MCF7_144H_X3_B1_DUO45HI44LO:L05	E2F3
KDA001_MCF7_144H_X2_B1_DUO44HI45LO:P15	KDA001_MCF7_144H_X2	P15	TRCN0000013806	E2F3	trt_sh	-666	-666	144	h	MCF7	KDA001_MCF7_144H_X2_B1_DUO44HI45LO:P15	E2F3
KDA001_MCF7_144H_X3_B1_DUO45HI44LO:P15	KDA001_MCF7_144H_X3	P15	TRCN0000013806	E2F3	trt_sh	-666	-666	144	h	MCF7	KDA001_MCF7_144H_X3_B1_DUO45HI44LO:P15	E2F3
KDA001_MCF7_96H_X1_B1_DUO45HI44LO:L23	KDA001_MCF7_96H_X1	L23	TRCN0000013804	E2F3	trt_sh	-666	-666	96	h	MCF7	KDA001_MCF7_96H_X1_B1_DUO45HI44LO:L23	E2F3
KDA001_MCF7_96H_X2_B1_DUO44HI45LO:L23	KDA001_MCF7_96H_X2	L23	TRCN0000013804	E2F3	trt_sh	-666	-666	96	h	MCF7	KDA001_MCF7_96H_X2_B1_DUO44HI45LO:L23	E2F3
KDA001_MCF7_96H_X3_B1_DUO45HI44LO:L23	KDA001_MCF7_96H_X3	L23	TRCN0000013804	E2F3	trt_sh	-666	-666	96	h	MCF7	KDA001_MCF7_96H_X3_B1_DUO45HI44LO:L23	E2F3
KDA001_MCF7_96H_X1_B1_DUO45HI44LO:P15	KDA001_MCF7_96H_X1	P15	TRCN0000013806	E2F3	trt_sh	-666	-666	96	h	MCF7	KDA001_MCF7_96H_X1_B1_DUO45HI44LO:P15	E2F3
KDA001_MCF7_96H_X2_B1_DUO44HI45LO:P15	KDA001_MCF7_96H_X2	P15	TRCN0000013806	E2F3	trt_sh	-666	-666	96	h	MCF7	KDA001_MCF7_96H_X2_B1_DUO44HI45LO:P15	E2F3
KDA001_MCF7_96H_X3_B1_DUO45HI44LO:P15	KDA001_MCF7_96H_X3	P15	TRCN0000013806	E2F3	trt_sh	-666	-666	96	h	MCF7	KDA001_MCF7_96H_X3_B1_DUO45HI44LO:P15	E2F3
CPC020_MCF7_24H_X1_F1B4_DUO52HI53LO:A17	CPC020_MCF7_24H_X1	A17	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X1_F1B4_DUO52HI53LO:A17	DMSO
CPC020_MCF7_24H_X1_F1B4_DUO52HI53LO:A18	CPC020_MCF7_24H_X1	A18	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X1_F1B4_DUO52HI53LO:A18	DMSO
CPC020_MCF7_24H_X1_F1B4_DUO52HI53LO:B17	CPC020_MCF7_24H_X1	B17	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X1_F1B4_DUO52HI53LO:B17	DMSO
CPC020_MCF7_24H_X1_F1B4_DUO52HI53LO:E06	CPC020_MCF7_24H_X1	E06	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X1_F1B4_DUO52HI53LO:E06	DMSO
CPC020_MCF7_24H_X1_F1B4_DUO52HI53LO:F05	CPC020_MCF7_24H_X1	F05	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X1_F1B4_DUO52HI53LO:F05	DMSO
CPC020_MCF7_24H_X1_F1B4_DUO52HI53LO:F06	CPC020_MCF7_24H_X1	F06	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X1_F1B4_DUO52HI53LO:F06	DMSO
CPC020_MCF7_24H_X1_F1B4_DUO52HI53LO:I15	CPC020_MCF7_24H_X1	I15	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X1_F1B4_DUO52HI53LO:I15	DMSO
CPC020_MCF7_24H_X1_F1B4_DUO52HI53LO:I16	CPC020_MCF7_24H_X1	I16	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X1_F1B4_DUO52HI53LO:I16	DMSO
CPC020_MCF7_24H_X1_F1B4_DUO52HI53LO:J15	CPC020_MCF7_24H_X1	J15	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X1_F1B4_DUO52HI53LO:J15	DMSO
CPC020_MCF7_24H_X1_F1B4_DUO52HI53LO:J16	CPC020_MCF7_24H_X1	J16	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X1_F1B4_DUO52HI53LO:J16	DMSO
CPC020_MCF7_24H_X1_F1B4_DUO52HI53LO:M09	CPC020_MCF7_24H_X1	M09	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X1_F1B4_DUO52HI53LO:M09	DMSO
CPC020_MCF7_24H_X1_F1B4_DUO52HI53LO:N10	CPC020_MCF7_24H_X1	N10	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X1_F1B4_DUO52HI53LO:N10	DMSO
CPC020_MCF7_24H_X2_F1B4_DUO52HI53LO:A17	CPC020_MCF7_24H_X2	A17	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X2_F1B4_DUO52HI53LO:A17	DMSO
CPC020_MCF7_24H_X2_F1B4_DUO52HI53LO:B17	CPC020_MCF7_24H_X2	B17	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X2_F1B4_DUO52HI53LO:B17	DMSO
CPC020_MCF7_24H_X2_F1B4_DUO52HI53LO:B18	CPC020_MCF7_24H_X2	B18	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X2_F1B4_DUO52HI53LO:B18	DMSO
CPC020_MCF7_24H_X2_F1B4_DUO52HI53LO:E05	CPC020_MCF7_24H_X2	E05	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X2_F1B4_DUO52HI53LO:E05	DMSO
CPC020_MCF7_24H_X2_F1B4_DUO52HI53LO:E06	CPC020_MCF7_24H_X2	E06	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X2_F1B4_DUO52HI53LO:E06	DMSO
CPC020_MCF7_24H_X2_F1B4_DUO52HI53LO:F05	CPC020_MCF7_24H_X2	F05	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X2_F1B4_DUO52HI53LO:F05	DMSO
CPC020_MCF7_24H_X2_F1B4_DUO52HI53LO:F06	CPC020_MCF7_24H_X2	F06	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X2_F1B4_DUO52HI53LO:F06	DMSO
CPC020_MCF7_24H_X2_F1B4_DUO52HI53LO:I15	CPC020_MCF7_24H_X2	I15	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X2_F1B4_DUO52HI53LO:I15	DMSO
CPC020_MCF7_24H_X2_F1B4_DUO52HI53LO:I16	CPC020_MCF7_24H_X2	I16	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X2_F1B4_DUO52HI53LO:I16	DMSO
CPC020_MCF7_24H_X2_F1B4_DUO52HI53LO:J15	CPC020_MCF7_24H_X2	J15	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X2_F1B4_DUO52HI53LO:J15	DMSO
CPC020_MCF7_24H_X2_F1B4_DUO52HI53LO:J16	CPC020_MCF7_24H_X2	J16	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X2_F1B4_DUO52HI53LO:J16	DMSO
CPC020_MCF7_24H_X3_F1B4_DUO52HI53LO:B17	CPC020_MCF7_24H_X3	B17	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X3_F1B4_DUO52HI53LO:B17	DMSO
CPC020_MCF7_24H_X3_F1B4_DUO52HI53LO:E05	CPC020_MCF7_24H_X3	E05	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X3_F1B4_DUO52HI53LO:E05	DMSO
CPC020_MCF7_24H_X3_F1B4_DUO52HI53LO:F05	CPC020_MCF7_24H_X3	F05	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X3_F1B4_DUO52HI53LO:F05	DMSO
CPC020_MCF7_24H_X3_F1B4_DUO52HI53LO:F06	CPC020_MCF7_24H_X3	F06	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X3_F1B4_DUO52HI53LO:F06	DMSO
CPC020_MCF7_24H_X3_F1B4_DUO52HI53LO:I15	CPC020_MCF7_24H_X3	I15	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X3_F1B4_DUO52HI53LO:I15	DMSO
CPC020_MCF7_24H_X3_F1B4_DUO52HI53LO:I16	CPC020_MCF7_24H_X3	I16	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X3_F1B4_DUO52HI53LO:I16	DMSO
CPC020_MCF7_24H_X3_F1B4_DUO52HI53LO:J15	CPC020_MCF7_24H_X3	J15	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X3_F1B4_DUO52HI53LO:J15	DMSO
CPC020_MCF7_24H_X3_F1B4_DUO52HI53LO:J16	CPC020_MCF7_24H_X3	J16	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X3_F1B4_DUO52HI53LO:J16	DMSO
CPC020_MCF7_24H_X3_F1B4_DUO52HI53LO:M10	CPC020_MCF7_24H_X3	M10	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X3_F1B4_DUO52HI53LO:M10	DMSO
CPC020_MCF7_24H_X3_F1B4_DUO52HI53LO:N10	CPC020_MCF7_24H_X3	N10	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X3_F1B4_DUO52HI53LO:N10	DMSO
CPC020_MCF7_24H_X4_F2B4_DUO52HI53LO:A17	CPC020_MCF7_24H_X4	A17	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X4_F2B4_DUO52HI53LO:A17	DMSO
CPC020_MCF7_24H_X4_F2B4_DUO52HI53LO:A18	CPC020_MCF7_24H_X4	A18	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X4_F2B4_DUO52HI53LO:A18	DMSO
CPC020_MCF7_24H_X4_F2B4_DUO52HI53LO:B17	CPC020_MCF7_24H_X4	B17	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X4_F2B4_DUO52HI53LO:B17	DMSO
CPC020_MCF7_24H_X4_F2B4_DUO52HI53LO:B18	CPC020_MCF7_24H_X4	B18	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X4_F2B4_DUO52HI53LO:B18	DMSO
CPC020_MCF7_24H_X4_F2B4_DUO52HI53LO:E05	CPC020_MCF7_24H_X4	E05	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X4_F2B4_DUO52HI53LO:E05	DMSO
CPC020_MCF7_24H_X4_F2B4_DUO52HI53LO:E06	CPC020_MCF7_24H_X4	E06	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X4_F2B4_DUO52HI53LO:E06	DMSO
CPC020_MCF7_24H_X4_F2B4_DUO52HI53LO:F05	CPC020_MCF7_24H_X4	F05	DMSO	DMSO	ctl_vehicle	-666	-666	24	h	MCF7	CPC020_MCF7_24H_X4_F2B4_DUO52HI53LO:F05	DMSO
